"period-id";"nom";"ville";"fréquence";"date de première parution";"date de dernière parution";"imprimeur";"date changement d'imprimeur";"imprimeur2";"imprimeur3";"cote";"notes";"source1"
1151827023;"La Revue indépendante du Nord";1;"mensuel";"05/1878";"1879";17;;;;;;"D100790"
1155225170;"Le Libéral du Nord";1;"trihebdomadaire";"21/07/1886";"1888";;;;;;;"D100790"
1159955322;"Bulletin météorologique du département du Nord";1;"mensuel";"01/1883";"03/1883";33;;;;;;"D100790"
1174925787;"Le Petit Journal du Nord";1;"quotidien";"01/11/1870";"31/07/1871";19;;;;;;"D100790"
1225815521;"Bulletin de l'armée";1;;"22/05/1872";"1872";17;;;;;;"D100790"
1316489863;"L'ami du peuple";1;"trihebdomadaire";"02/06/1872";"1886";17;;;;"D000007";;"D100790"
1364021804;"Journal de Denain et de ses environs";1;"hebdomadaire";"12/03/1882";"1883";40;;;;;;"D100790"
1370802739;"Journal de Seclin";1;"hebdomadaire";"01/05/1858";"1858";16;;;;;;"D100790"
1392305925;"Douai Nouveau";1;"hebdomadaire";"1894";"ap1896";45;;3;;;;"D100790"
1429201641;"Annonces et affiches du département du Nord";1;;"22/03/1796";"06/06/1796";31;;;;;;"D100790"
1459822462;"Mémoire de la Société Centrale d'Agriculture de Sciences et d'Arts";1;;;;;;;;;;"D100790"
1463733045;"Le Libéral du Nord";1;"quotidien";"23/09/1870";"19/03/1871";17;;;;;;"D100790"
1476243368;"Le Petit Douai";1;"bihedomadaire";"11/1882";"11/1882";40;;;;;;"D100790"
1501539202;"Le Petit Gaulois";1;"quotidien";"27/08/1870";"03/09/1870";17;;;;;;"D100790"
1538725653;"Le Salon Douaisien";1;"mensuel";"03/12/1842";"09/1843";15;;;;;;"D100790"
1553000631;"Journal de Carvin";1;"hebdomadaire";"01/05/1858";"1858";16;;;;;;"D100790"
1594927022;"Le Programme";1;"hebdomadaire";"1846";;15;;;;;;"D100790"
1604054306;"L'industrie du Nord et du Pas-de-Calais";1;"hebdomadaire";"06/11/1857";"07/1870";41;"08/07/1861";17;;;;"D100790"
1622321807;"L'Écho de Douai";1;"hebdomadaire";"02/10/1887";"1887";35;;;;;;"D100790"
1636604091;"Le Nord";1;"irrégulier";"1894";"ap1896";17;;;;;;"D100790"
1658881867;"Le Salon du Nord";1;"mensuel";"25/11/843";"01/03/1844";15;;;;;;"D100790"
1676666760;"Annales du Bibliophile";1;"Irrégulier";"1870";"ap1896";17;;;;;;"D100790"
1684497189;"Les Petites Affiches et Annonces du Nord de la France";1;"irrégulier";"30/01/1876";"1894";17;;;;;;"D100790"
1697454475;"L'Éclaireur Orchésien";4;"trihebdomadaire";"1864";"1864";37;;;;;;"D100790"
1735441976;"Le Courrier Artésien";1;"hebdomadaire";"01/10/1865";"01/10/1865";17;;;;;;"D100790"
1739984004;"Le Libéral";1;"trihebdomadaire";"08/05/1832";"03/12/1851";42;;;;;;"D100790"
1902836157;"Journal de Douai";1;"trihebdomadaire";"15/05/1864";"ap1896";17;;;;;;"D100790"
1929076318;"Affiches nationales du département du Nord";1;"bihebdomadaire";"17/09/1790";"20/03/1791";13;;;;;;"D100790"
1963777678;"Bulletin de la société photographique du Nord de la France";1;"mensuel";"1873";"ap1896";32;;;;;;"D100790"
1969338721;"Douai Républicain";1;"trihebdomadaire";"13/10/1895";"ap1896";45;;;;;;"D100790"
