"pro-id";"Nom";"Commune";"Début d'activité";"Fin d'activité";"Prédécesseur";"Successeur";"adresse";"coordonnées";"imprimerie";"patron";"libraire";"Date de brevet (libraire)";"lithographe";"Date de brevet (imprimeur-lithographe)";"imprimeur";"Date de brevet (imprimeur)";"graveur";"relieur";"typographe";"Linotypiste";"journaliste";"photographe";"marchand de journaux";"porteur de journaux";"Notes"
227;1168519168;1;;;;;"2 rue d'Ocre/2 ruelle d'Anchin";"50.375860, 3.077618";;0;0;;0;;0;;0;0;1;0;0;0;0;0;"1879 annuaire / Chômage"
228;-1923715071;1;;;;;"86 rue de Paris";;;0;0;;0;;0;;0;0;1;0;0;0;0;0;"1879 annuaire"
229;1007851054;1;;;;;"4 rue des Procureurs";;;0;1;;0;;0;;0;0;0;0;0;0;0;0;"1879 annuaire"
230;976117772;1;;;;;"1 rue du Pont-de-Tournay";"50.372483, 3.079066";;0;0;;0;;1;;0;0;0;0;0;0;0;0;"1879 annuaire"
231;-1418614243;1;;;;;"22 rue des Wetz";"50.373753, 3.080635";;0;0;;1;;0;;0;0;0;0;0;0;0;0;"1879 rue des Wetz"
232;1776840240;22;;;;;;;;0;0;;0;;1;;0;0;0;0;0;0;0;0;
233;-1220427810;22;;;;;;;;0;0;;0;;0;;0;0;1;0;0;0;0;0;
234;215645809;22;;;;;"1 rue Pasteur";"50.359342, 3.280808";;0;0;;0;;1;;0;0;0;0;0;0;0;0;
235;1785736711;1;;;;;"2 rue de l'Abbaye-des-Prés";"50.374641, 3.079801";;0;0;;0;;0;;0;0;0;0;1;0;0;0;"1913 annuaire (journaliste chez Bassée [?], témoin de son décès)"
236;500326716;1;;;;;"8 rue Alfred Trannin";;18;0;0;;1;;0;;0;0;1;0;0;0;0;0;"Patron : Dutilleux, 1913 annuaire"
237;1683423117;1;;;;;"8 ruelle d'Anchin";;18;0;0;;0;;0;;0;1;0;0;0;0;0;0;"1913 annuaire/ Patron : Dutilleux"
238;-1356621366;1;;;;;"54 rue d'Arras";;;0;0;;0;;0;;0;0;1;0;0;0;0;0;"1913 annuaire"
239;26082568;1;;;;;"34 rue de Bellain";"50.368965, 3.082432";;0;0;;0;;1;;0;0;0;0;0;0;0;0;"1913 annuaire"
240;-246764951;1;;;;;"61 rue du Canteleux";;;0;0;;0;;0;;1;0;0;0;0;0;0;0;"1913 annuaire"
241;-864400778;1;;;;;"21 place d'Armes";"50.367964, 3.082639";;0;0;;0;;0;;0;0;0;0;0;1;0;0;"1913 annuaire"
242;-1612375361;1;;;;;"25-27 place d'Armes";"50.367909, 3.082880";30;0;1;;0;;1;;0;0;0;0;0;0;0;0;"1913 annuaire"
243;638406036;1;;;;;"32 rue de la Cloche";"50.370222, 3.075437";;0;0;;0;;0;;0;0;1;0;0;0;0;0;"1913 annuaire"
245;1776857921;1;;;;;"6 rue de la Cloris";;;0;1;;0;;0;;0;0;0;0;0;0;0;0;"1913 annuaire"
246;-97261458;1;;;;;"16 avenue Détrain";"50.364152, 3.091074";;0;0;;0;;0;;0;0;1;0;0;0;0;0;"1913 annuaire,"
247;326283095;1;;;;;"28 rue des Écoles";"50.372655, 3.082311";;0;0;;0;;0;;0;0;0;0;0;1;0;0;"1913 annuaire"
248;-680461236;1;;;;;"1 rue François Lemaire";"50.376243, 3.079168";;0;0;;0;;0;;0;0;1;0;0;0;0;0;"1913 annuaire"
249;-125263523;1;;;;;"59 rue des Fripiers";;;0;0;;0;;0;;0;0;1;0;0;0;0;0;"1913 annuaire"
250;-1220678822;1;;;;;"42 rue du Grand-Bail";;;0;0;;0;;0;;0;0;1;0;0;0;0;0;"1913 annuaire"
252;1809136339;1;;;;;"11 rue de l'Hippodrome";"50.364022, 3.082604";;0;0;;0;;1;;0;0;0;0;0;0;0;0;"1913 annuaire"
254;1561651480;1;;;;;"18 rue d'Infroy";"50.367647, 3.075252";;0;0;;0;;0;;0;0;0;0;0;1;0;0;"1913 annuaire"
255;-199718599;1;;;;;"6 rue du Kiosque";;;0;0;;0;;1;;0;0;0;0;0;0;0;0;"1913 annuaire (ouvrier)"
256;-1340067436;1;;1911;;;"12 rue Léon Gambetta";"50.368508, 3.080329";;0;0;;0;;1;;0;0;0;0;0;0;0;0;"1879 annuaire"
257;-455518970;1;;;;;"12 rue Léon Gambetta";"50.368508, 3.080329";;0;0;;0;;1;;0;0;0;0;0;0;0;0;"1913 annuaire (fils de Achille Bassée ?)"
258;538400271;1;;;;;"48 rue de Lille";;;0;0;;0;;0;;0;0;0;0;0;1;0;0;"1913 annuaire"
260;338401956;1;;;;;"14 rue Merlin de Douai";"50.369303, 3.078361";;0;1;;0;;0;;0;0;0;0;0;0;0;0;"1913 annuaire"
262;1063260530;1;;;;;"4 rue Notre-Dame des Wetz";"50.371904, 3.079248";;0;0;;0;;1;;0;0;0;0;0;0;0;0;"1913 annuaire, bureau de l'Echo Douaisien, de la Scarpe de la Gazette de Sin-le-Noble"
264;370113803;1;;;;;"24 rue de Paris";"50.367017, 3.081290";;0;0;;0;;0;;0;0;0;0;0;1;0;0;"1913 annuaire"
265;382786800;1;;;;;"1 rue du Pied d'Argent/ 45 place d'Armes";"50.367637, 3.083730";30;0;0;;0;;0;;0;0;1;0;0;0;0;0;"Patron : wacquez / 1913 annuaire"
266;892761649;1;;;;;"3 rue du Pont des Dominicains";"50.368450, 3.076352";;0;0;;0;;1;;0;0;0;0;0;0;0;0;"1913 annuaire"
267;-1610429282;1;;;;;"119 avenue du Quatre-Septembre";"50.363828, 3.089701";;0;0;;0;;0;;0;0;0;0;1;0;0;0;"1913 annuaire"
268;718617596;3;;;;;;;;0;1;;0;;0;;0;0;0;0;0;1;0;0;"1913 annuaire"
269;903080903;3;;;;;;;;0;1;;0;;1;;0;0;0;0;0;0;0;0;"1913 annuaire"
270;-27348626;4;;;;;;;;0;0;;0;;1;;0;0;0;0;0;0;0;0;
271;2140013655;1;;;;;;;;0;0;;0;;0;;0;0;0;0;0;1;0;0;
272;-1499665076;1;;;;;;;30;0;0;;0;;0;;0;0;1;0;0;0;0;0;"Patron : Wacquez"
273;499646045;1;;;;;"36 rue de la Cuve d'Or / 38 rue des Ferronniers";;3;0;0;;0;;0;;0;0;1;0;0;0;0;0;"Patron inconnu / Patron : Goulois"
275;1894728794;1;;;;;;;3;0;0;;0;;1;;0;0;0;0;0;0;0;0;"Patron : Goulois"
276;-1510481965;1;;;;;"10 rue des Clarisses";"50.365527, 3.081316";30;0;0;;0;;0;;0;0;0;0;0;0;0;1;"Patron : Wacquez"
277;-177608168;1;;;;;"34 terrasse du réservoir";;;0;0;;1;;0;;0;0;0;0;0;0;0;0;
278;1508881977;1;;;;;"35 rue de Paris";"50.366236, 3.081163";18;0;0;;0;;1;;0;0;0;0;0;0;0;0;"Patron : Dutilleux"
279;382786800;1;;;;;;;30;0;0;;0;;0;;0;0;1;0;0;0;0;0;"Patron : Wacquez"
280;1578778118;1;;;;;"26 rue de Paris";"50.366971, 3.081260";;0;0;;0;;1;;0;0;0;0;0;0;0;0;"Patron : lui-même"
281;-1831162972;1;;;;;"28 rue de Paris";"50.366913, 3.081239";;0;0;;0;;0;;0;0;1;0;0;0;0;0;"Patron: lui-même"
282;-73038891;1;;;;;"38 rue de Paris";;;0;0;;0;;0;;0;0;1;0;0;0;0;0;"Patron : Delarue"
283;2093582962;1;;;;;"16 rue de la Comédie";"50.366511, 3.078248";;0;0;;0;;1;;0;0;0;0;0;0;0;0;"Patron inconnu"
284;-464535029;1;;;;;"34 rue des Ferronniers";"50.369300, 3.080431";;0;0;;0;;0;;0;0;1;0;0;0;0;0;"Patron : Crépin"
285;1444609520;1;;;;;;;;0;0;;0;;0;;0;0;1;0;0;0;0;0;"Patron : Ladrière"
286;-344623280;1;;;1007851054;;;;;0;1;;0;;0;;0;0;0;0;0;0;0;0;"Patron : Palma"
287;-373434978;1;;;;;"4 rue de la Cloris";;;0;0;;0;;0;;0;0;1;0;0;0;0;0;"Patron : Bassée"
288;1976205511;1;;;;;"6 place du Marché au Poisson";;18;0;0;;0;;0;;0;0;1;0;0;0;0;0;"Patron : Dutilleux"
289;-1880321971;1;;;;;"47 rue de la mairie";;;1;0;;0;;1;;0;0;0;0;0;0;0;0;"Patron : lui-même"
290;679119754;1;;;;;"34 rue de Bellain";"50.368965, 3.082432";;0;0;;0;;0;;0;0;0;0;0;0;0;0;"Patron : lui-même"
291;-412581053;1;;;;;"17 rue de Bellain";"50.368610, 3.082024";;1;0;;0;;0;;0;0;0;0;0;1;0;0;"Patron : lui-même"
292;1777450111;1;;;;;"10 place d'Armes";"50.367572, 3.082038";;0;0;;0;;0;;0;0;0;0;1;0;0;0;"Echo Douaisien"
293;-1281868716;1;;;;;"32 place d'Armes";"50.367360, 3.083473";17;0;0;;0;;0;;0;0;1;0;0;0;0;0;"Patron : Crépin"
294;-923397435;1;;;;;"44 rue des Fripiers";;;0;0;;0;;0;;0;1;0;0;0;0;0;0;"Patron : lui-même"
295;6179490;1;;;;;"50 rue des Fripiers";;17;0;0;;0;;0;;0;0;1;0;0;0;0;0;"Patron : Crépin"
296;-970937733;1;;;;;"3 rue des Fripiers";"50.367916, 3.083333";;0;0;;0;;0;;0;0;0;0;0;0;1;0;"Patron : Plaisant"
297;-1532462688;1;;;;;"29 rue des Fripiers";"50.368359, 3.083655";;0;0;;0;;0;;0;0;1;0;0;0;0;0;"Patron : Bassée"
298;-1763499743;1;;;;;"37 rue des Fripiers";;30;0;0;;0;;0;;0;0;1;0;0;0;0;0;"Patron : Wacquez"
299;-118458162;1;;;;;"28 rue Jean Bellegambe";"50.369779, 3.081397";;0;1;;0;;0;;0;0;0;0;0;0;0;0;"Patronne : elle-même"
300;1888846764;1;;;;;"11 rue Saint-Eloi";"50.364181, 3.079286";;0;0;;0;;0;;0;1;0;0;0;0;0;0;"Patron : Lacombe"
301;-1382765251;1;;;;;"34 rue du Canteleux";"50.368746, 3.084404";;0;0;;0;;0;;0;0;0;0;0;1;0;0;"Patron : lui-même"
302;-184073798;1;;;;;"6 rue Neuve-Notre-Dame";;;0;0;;0;;0;;0;0;1;0;0;0;0;0;"Patron : Brugère"
